道具,品阶,道具分类,适用职业,掉落来源(怪物),地图,刷新点位,道具属性,掉落概率,是否可制作,制作材料
玛娜药水,普通,消耗品,全职业,卡司特,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,1%,否,
盔甲魔法卷轴,普通,材料,全职业,卡司特,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.05%,否,
绿宝石,普通,材料,全职业,卡司特,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.1%,否,
翡翠药水,普通,消耗品,全职业,卡司特,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,1%,否,
自我加速药水,普通,消耗品,全职业,卡司特,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,1%,否,
银原石,普通,材料,全职业,卡司特,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.1%,否,
抗魔戒指,普通,防具,全职业,卡司特王,妖精森林,"522,577,0",魔法防御（MR）: 5,0.01%,否,
武器魔法卷轴,普通,材料,全职业,卡司特王,妖精森林,"522,577,0",无属性,0.05%,否,
治愈药水,普通,消耗品,全职业,卡司特王,妖精森林,"522,577,0",无属性,1%,否,
玛娜药水,普通,消耗品,全职业,卡司特王,妖精森林,"522,577,0",无属性,1%,否,
盔甲魔法卷轴,普通,材料,全职业,卡司特王,妖精森林,"522,577,0",无属性,0.05%,否,
瞬间移动卷轴,普通,消耗品,全职业,卡司特王,妖精森林,"522,577,0",无属性,0.5%,否,
翡翠药水,普通,消耗品,全职业,卡司特王,妖精森林,"522,577,0",无属性,1%,否,
自我加速药水,普通,消耗品,全职业,卡司特王,妖精森林,"522,577,0",无属性,1%,否,
银原石,普通,材料,全职业,卡司特王,妖精森林,"522,577,0",无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,污染的狐狸,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,污染的狐狸,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.05%,否,
银原石,普通,材料,全职业,污染的狐狸,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,污染的狼,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,污染的狼,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.05%,否,
银原石,普通,材料,全职业,污染的狼,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,污染的野猪,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,污染的野猪,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.05%,否,
银原石,普通,材料,全职业,污染的野猪,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,污染的鬃狼,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,污染的鬃狼,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.05%,否,
银原石,普通,材料,全职业,污染的鬃狼,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.1%,否,
巨斧,普通,武器,王族/骑士,卡司特,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",大型怪物攻击力&max: 26; 小型怪物攻击力&max: 20; 攻击间隔: 0.96,0.01%,否,
巨斧,普通,武器,王族/骑士,卡司特王,妖精森林,"522,577,0",大型怪物攻击力&max: 26; 小型怪物攻击力&max: 20; 攻击间隔: 0.96,0.01%,否,
精灵饼干,普通,消耗品,精灵,卡司特,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.2%,否,
精灵饼干,普通,消耗品,精灵,卡司特王,妖精森林,"522,577,0",无属性,0.2%,否,
金币,普通,未知分类,需求等级1,卡司特,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,12.5%,否,
金币,普通,未知分类,需求等级1,卡司特王,妖精森林,"522,577,0",无属性,12.5%,否,
金币,普通,未知分类,需求等级1,污染的狐狸,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,100%,否,
金币,普通,未知分类,需求等级1,污染的狼,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,100%,否,
金币,普通,未知分类,需求等级1,污染的野猪,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,100%,否,
金币,普通,未知分类,需求等级1,污染的鬃狼,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,100%,否,
勇敢药水,普通,消耗品,骑士,卡司特,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",无属性,0.5%,否,
勇敢药水,普通,消耗品,骑士,卡司特王,妖精森林,"522,577,0",无属性,0.5%,否,
狂战士斧,普通,武器,骑士,卡司特王,妖精森林,"522,577,0",大型怪物攻击力&max: 19; 小型怪物攻击力&max: 19; 攻击间隔: 0.96,0.01%,否,
战斧,普通,武器,骑士/精灵/领主,卡司特,妖精森林,"174,505,0~278,568,0²; 278,425,0~331,512,0²; 278,512,0~331,621,0²; 292,621,0~331,724,0²; 331,643,0~383,715,0²; 331,558,0~383,643,0²; 331,456,0~383,558,0²; 331,388,0~383,456,0²; 383,366,0~429,423,0²; 383,423,0~429,517,0²; 383,517,0~429,612,0²; 383,612,0~454,667,0²; 383,667,0~454,715,0²; 364,715,0~425,808,0²; 425,715,0~498,817,0²; 454,667,0~533,715,0²; 454,612,0~533,667,0²; 429,539,0~505,612,0²; 429,489,0~505,539,0²; 505,489,0~575,539,0²; 505,539,0~575,612,0²; 533,612,0~608,691,0²; 498,691,0~589,771,0²; 608,545,0~663,673,0²; 575,489,0~622,612,0²; 622,437,0~663,544,0²; 663,397,0~727,512,0²; 663,512,0~727,594,0²; 727,427,0~778,571,0²",大型怪物攻击力&max: 18; 小型怪物攻击力&max: 18; 攻击间隔: 0.96,0.01%,否,
战斧,普通,武器,骑士/精灵/领主,卡司特王,妖精森林,"522,577,0",大型怪物攻击力&max: 18; 小型怪物攻击力&max: 18; 攻击间隔: 0.96,0.01%,否,
安特的树皮,普通,材料,全职业,腐败僵尸剑士,妖精森林地监一层,"126,17,0~159,68,0²; 88,48,0~138,75,0²; 112,64,0~161,101,0²; 79,70,0~117,116,0²; 152,53,0~192,91,0²; 144,81,0~207,110,0²; 54,90,0~84,141,0²; 21,113,0~58,164,0²; 45,135,0~82,179,0²; 70,159,0~98,216,0²; 89,211,0~139,243,0²; 116,192,0~173,223,0²; 91,165,0~140,200,0²; 130,156,0~185,196,0²; 88,106,0~122,158,0²; 109,130,0~157,169,0²; 114,95,0~166,133,0²; 159,104,0~201,144,0²; 173,127,0~217,171,0²; 191,106,0~243,138,0²; 206,118,0~240,163,0²",无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,腐败僵尸剑士,妖精森林地监一层,"126,17,0~159,68,0²; 88,48,0~138,75,0²; 112,64,0~161,101,0²; 79,70,0~117,116,0²; 152,53,0~192,91,0²; 144,81,0~207,110,0²; 54,90,0~84,141,0²; 21,113,0~58,164,0²; 45,135,0~82,179,0²; 70,159,0~98,216,0²; 89,211,0~139,243,0²; 116,192,0~173,223,0²; 91,165,0~140,200,0²; 130,156,0~185,196,0²; 88,106,0~122,158,0²; 109,130,0~157,169,0²; 114,95,0~166,133,0²; 159,104,0~201,144,0²; 173,127,0~217,171,0²; 191,106,0~243,138,0²; 206,118,0~240,163,0²",无属性,0.05%,否,
